pop_id,component,region,type,size,cont_out,cont_in,cont_exc_out,cont_inh_out,cont_exc_in,cont_inh_in,elec_out,elec_in,elec_exc_out,elec_inh_out,elec_exc_in,elec_inh_in,total_out,total_in,inputs,exc_inputs,inh_inputs,cont_out_density,cont_in_density,elec_out_density,elec_in_density,input_density,exc_input_density,inh_input_density
M2b_bAC217_L6_MC_6c575906a7_0_0,bAC217_L6_MC_6c575906a7_0_0,M2b,inh,52,0,0,0,0,0,0,232,232,0,232,0,232,232,232,6,0,6,0.0,0.0,4.461538461538462,4.461538461538462,0.11538461538461539,0.0,0.11538461538461539
S1a_bAC217_L5_BTC_9b82f426e5_0_0,bAC217_L5_BTC_9b82f426e5_0_0,S1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
M1a_bIR215_L4_BTC_22df25e508_0_0,bIR215_L4_BTC_22df25e508_0_0,M1a,inh,21,0,32,0,0,30,2,132,132,0,132,0,132,132,164,2,0,2,0.0,1.5238095238095237,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
S1b_bAC217_L23_BP_4652c9a7e1_0_0,bAC217_L23_BP_4652c9a7e1_0_0,S1b,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
S1a_bAC217_L5_MC_c135727743_0_0,bAC217_L5_MC_c135727743_0_0,S1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
M2b_bAC217_L4_BP_712c8549fc_0_0,bAC217_L4_BP_712c8549fc_0_0,M2b,inh,21,0,0,0,0,0,0,88,88,0,88,0,88,88,88,2,0,2,0.0,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
S1a_bIR215_L5_NBC_913c40083e_0_0,bIR215_L5_NBC_913c40083e_0_0,S1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
M2a_bAC217_L4_MC_29457dde26_0_0,bAC217_L4_MC_29457dde26_0_0,M2a,inh,21,0,0,0,0,0,0,88,88,0,88,0,88,88,88,2,0,2,0.0,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
M1b_bAC217_L6_MC_6c575906a7_0_0,bAC217_L6_MC_6c575906a7_0_0,M1b,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
M1a_bAC217_L5_BTC_9b82f426e5_0_0,bAC217_L5_BTC_9b82f426e5_0_0,M1a,inh,25,187,38,0,187,36,2,165,165,0,165,0,165,352,203,3,0,3,7.48,1.52,6.6,6.6,0.12,0.0,0.12
M2a_bIR215_L4_BTC_22df25e508_0_0,bIR215_L4_BTC_22df25e508_0_0,M2a,inh,21,0,0,0,0,0,0,88,88,0,88,0,88,88,88,2,0,2,0.0,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
